,Unnamed: 0,word_us,word_length,n_phon,nonword,n_phon_nw,ipa_words,ipa_nonwords,ipa_words_shuffle_0,ipa_nonwords_shuffle_0,ipa_words_shuffle_1,ipa_nonwords_shuffle_1,ipa_words_shuffle_2,ipa_nonwords_shuffle_2,ipa_words_shuffle_3,ipa_nonwords_shuffle_3,ipa_words_shuffle_4,ipa_nonwords_shuffle_4
5821,5821,mudslinger,10,9,mudslanger,9,mʌdslɪŋɡɚ,mʌdslændʒɚ,ɚʌɪsdɡmŋl,ɚæmʌsʒdlnd,ʌɡmsɪdɚŋl,ɚlʌdmnædsʒ,mʌlɡdŋsɪɚ,dæʒsɚʌdnlm,mŋʌsɚdɪlɡ,mʒdlæʌɚsnd,ʌdɚɪŋlɡms,ʌndmæsɚʒdl
5822,5822,muffin,6,5,muzzin,5,mʌfɪn,mʌzɪn,ɪfmnʌ,ɪʌznm,ʌnɪfm,ɪmnʌz,mfʌɪn,zmnɪʌ,ɪfnʌm,ʌzmɪn,mʌɪnf,ɪnmzʌ
5823,5823,muffle,6,5,munnle,5,mʌfəl,mʌnəl,ʌfmlə,nmlʌə,əmʌfl,lənʌm,ʌlfəm,lʌəmn,fməʌl,ʌmlən,ʌəflm,nəlmʌ
5824,5824,muffler,7,7,mubbler,6,mʌflɚ,mʌblɚ,lʌmfɚ,bʌlɚm,lfmʌɚ,mblʌɚ,mʌlfɚ,ɚmʌlb,mfʌlɚ,bʌmɚl,fʌmɚl,mlbʌɚ
5825,5825,mug,3,3,mig,3,mʌɡ,mɪɡ,ʌɡm,mɡɪ,ʌɡm,ɪɡm,ʌɡm,mɪɡ,ʌɡm,mɡɪ,ʌmɡ,mɡɪ
5826,5826,multicolored,12,11,multicilures,12,mʌltɪkʌlɚd,mʌltɪsɪlɪɹz,ɚkʌmɪʌdllt,ɹʌzɪslɪtɪml,kldmʌɪlʌtɚ,mɪztʌlɪlsɹɪ,tdmkɪlɚlʌʌ,ʌɹɪsɪzmtlɪl,lkdʌɪlɚtʌm,ɹtlɪlɪʌmɪsz,lʌdmtlkɪɚʌ,llɪʌɹsɪzmɪt
5827,5827,multimillionaire,16,13,multimiffionaive,13,mʌltɪmɪliənɛɹ,mʌltɪmɪfɪɑːnaɪiːv,ləɹmlʌmitɛɪnɪ,vɑtɪnialmɪʌɪɪːːfm,ɪəlʌɪnɛmtlmɹi,mmtaɪɑʌɪːiːlnɪɪvf,mʌɹɪɪnlətɛlmi,mɪafːntvmɪɪɪlɑːʌi,ɪɹɛllntəʌɪmmi,ɪaɪmɪɪifːlntmʌɑːv,tɪnɛəiɹmɪllʌm,mːmɪitaɪlʌɪɑfnɪːv
5828,5828,multiple,8,8,multoble,8,mʌltɪpəl,mʌltɑːbəl,plltʌməɪ,əɑːlmtʌbl,lʌləpmtɪ,ɑətʌmːllb,ltpɪʌəlm,mbʌllətːɑ,pmɪlləʌt,ltmləːʌbɑ,ɪəmʌltlp,ltəʌblːmɑ
5829,5829,multiplication,14,13,multiplotalion,14,mʌltɪplɪkeɪʃən,mʌltɪplətæliən,əeɪɪplklntʃʌɪm,təəlmtpʌɪllæin,plʃnkmɪɪɪteləʌ,lmɪæltəiʌntplə,ʃəɪʌmnlɪlɪptek,llætpmilʌətɪnə,lʃnpɪlməkɪʌtɪe,læpʌmɪnlltəəit,tkəlnmɪpʃɪlɪʌe,mlpʌlɪətntlæiə
5830,5830,multiply,8,8,multobly,8,mʌltɪplaɪ,mʌltɑːbli,pʌɪaɪtlml,tːlɑmliʌb,mtlapɪʌɪl,ːbimlɑlʌt,amlltɪpʌɪ,ʌɑmlibːlt,apʌmtɪllɪ,limblːtʌɑ,ʌlaptlmɪɪ,tlʌɑmbilː
5831,5831,mum,3,3,mooge,3,mʌm,muːdʒ,ʌmm,mʒːud,ʌmm,ːuʒdm,mʌm,ʒdːum,mmʌ,ʒdumː,mʌm,ʒːmud
5832,5832,mumble,6,6,moombly,6,mʌmbəl,muːmbli,əmmbʌl,ilːbmum,məmlʌb,bimlumː,əmlʌbm,iuːlmbm,mbʌəlm,lmiːbmu,əlmmʌb,bmːmlui
5833,5833,mummy,5,4,muppy,4,mʌmi,mʌpi,mimʌ,piʌm,mmiʌ,ʌmip,mʌmi,ʌmpi,ʌimm,mʌpi,ʌmmi,miʌp
5834,5834,munch,5,4,mudge,3,mʌntʃ,mʌdʒ,mʌʃnt,dʌmʒ,tʃmʌn,dʌmʒ,ʌnʃtm,ʌʒdm,mʌʃnt,ʒdmʌ,tmʌnʃ,ʌmʒd
5835,5835,municipal,9,10,muticidal,10,mjuːnɪsɪpəl,mjuːɾɪsaɪdəl,əɪljːupmɪns,dlsuaɾːjməɪɪ,ːuəmɪjpɪnsl,mɪudɪəɾːslja,əpɪmnslːɪju,uaɪəsjːɾdmlɪ,ɪuəljspːmɪn,jəsɪɪdamuɾːl,smɪləːjɪpnu,ːauɾlmsɪjɪəd
5836,5836,municipality,12,13,municobalory,13,mjuːnɪsɪpælᵻɾi,mjuːnɪkɑːbɐlɚɹi,uᵻɪɪiɾmlpːsæjn,ɐblːkuɪɹijːɚɑnm,jsɪᵻɾɪlːiumæpn,mːbɐɹɪijknɑɚuːl,mːæɪnjɾɪpᵻisul,ɹuːknɚɐɑljːibmɪ,sɪɪuinᵻlpæmɾːj,ulɚɐiːmbɑːnjkɹɪ,nspɪæjuɪiɾlᵻːm,ːɚmɹlinkɐɪːɑubj
5837,5837,mural,5,6,morad,5,mjʊɹɹəl,mɔːɹæd,ɹɹəljmʊ,æɹːdmɔ,ɹmlʊɹəj,ːmɹdæɔ,əlɹʊɹjm,dːæɔɹm,ljmɹɹəʊ,ɔmːɹæd,ɹmlɹjəʊ,mɹːæɔd
5838,5838,murder,6,6,marlen,6,mɜːdɚ,mɑːɹlən,ːɜmɚd,nmɑlːəɹ,dmɜːɚ,nlːɑɹəm,ːɚɜmd,lnmɹəɑː,ɚmɜːd,lɹnːəɑm,ɜmɚdː,ːɑɹmənl
5839,5839,murderer,8,8,murfeger,8,mɜːdɚɹɚ,mɜːfɛdʒɚ,mɚdɚɹɜː,dɛfɜɚmːʒ,ːɚɚɜmɹd,ɚʒɜmfːdɛ,dɚɜɚɹmː,mdɜɛfːɚʒ,mɚɹdɚɜː,ːmɜʒfdɛɚ,ɚɚːdmɹɜ,ʒmfɚːɜdɛ
5840,5840,murmur,6,6,mormor,6,mɜːmɚ,mɔːɹmɚ,mɚːɜm,mːɔmɚɹ,ɜːmmɚ,ɔːɹmɚm,ɚmɜːm,ɹːɚɔmm,ɚɜmːm,mɹːɚmɔ,mɜːɚm,ɹmɔmːɚ
5841,5841,muscle,6,5,misclo,6,mʌsəl,mɪskloʊ,məʌls,kmsoɪlʊ,ləmsʌ,loɪkmʊs,əsmlʌ,lskmɪʊo,sməʌl,ʊɪloskm,sʌlmə,lsɪʊkom
5842,5842,muscular,8,9,musconar,8,mʌskjʊlɚ,mʌskənɑːɹ,mkʌɚjʊsl,sɑnːkəɹʌm,sɚʊlmkʌj,ːəɑkʌnmɹs,ʌlkjɚsʊm,ʌmɑːkɹsən,mkʌɚjʊsl,knɑəːʌsɹm,ʌɚʊmlksj,ʌəɹɑmːnsk
5843,5843,muscularity,11,12,musculorany,12,mʌskjʊlæɹᵻɾi,mʌskjʊlɔːɹəni,simklɹʊᵻʌæɾj,mːinskjʊəʌlɔɹ,lʊækɹsimɾᵻʌj,ʌɔːimksnʊɹjlə,lᵻmijæɹʊsɾkʌ,mjɹɔniləskːʊʌ,jiæʊsᵻʌɾmlkɹ,nʌːsməkɔɹʊjli,ᵻsjɾkʊlæʌmiɹ,əimklʊʌjsɔnɹː
5844,5844,muse,4,4,mish,3,mjuːz,mɪs,juzmː,ɪms,uzmjː,smɪ,mːjuz,smɪ,uːmzj,ɪsm,zːjum,sɪm
5845,5845,museum,6,7,musaim,7,mjuːziəm,mjuːseɪm,jːzəmmui,mɪmesujː,zmijməːu,eːmsmjɪu,ːəjmizum,umjmseːɪ,əmːmizuj,ɪesːmjum,əumjizːm,musːeɪmj
5846,5846,mush,4,3,mune,4,mʌʃ,mjuːn,ʃmʌ,jːumn,ʌʃm,uːjnm,ʌmʃ,ːujnm,ʃmʌ,ːmujn,ʃʌm,ːjnum
5847,5847,mushroom,8,6,mishroon,6,mʌʃɹuːm,mɪshɹuːn,mmʌːɹʃu,ɹːmhsɪnu,mɹʌuːʃm,ːsnhmɹɪu,ːʌɹummʃ,ːmɹnɪshu,ːʃmmuʌɹ,ːɹsɪmhnu,ʃmːɹmuʌ,ɪhmːsunɹ
5848,5848,music,5,6,mosip,5,mjuːzɪk,mɑːsɪp,kjɪmːuz,pmɪɑːs,mkujzːɪ,ɑːsɪmp,kuzɪːjm,ɑmɪpsː,kmzɪjːu,ɑspːɪm,kɪuzjːm,ːpɑmɪs
5849,5849,musical,7,8,musopal,8,mjuːzɪkəl,mjuːsɑːpəl,ːlɪzjkəum,sːːmɑjuəlp,ɪlkujəmzː,ːusːjəmplɑ,kːɪujzəlm,jːpɑuəmlːs,lkɪəzjmːu,jɑːːpməlsu,əɪmːklzuj,lsɑpːjmuːə
5850,5850,musician,8,8,musocive,8,mjuːzɪʃən,mjuːsəsɪv,mənjʃːzɪu,uːvəsmjsɪ,ːuʃənmɪzj,ːvuɪmsəsj,ɪəːzuʃnjm,ssvməːɪuj,ːzəjnuʃɪm,ːməsusjɪv,nuɪzjʃːəm,əːmsjsɪvu
5851,5851,musketeer,9,8,muspeteen,8,mʌskɪtɪɹ,mʌspɪtiːn,tkɪʌɹɪms,ːnsmʌɪtpi,tsɪkɹʌɪm,ʌtpmsɪnːi,ksɪmʌtɪɹ,pnʌːɪstmi,mʌɪɪkstɹ,sɪʌmniptː,ɪʌtɹmɪks,ʌːtpnimɪs
5852,5852,Muslim,6,6,Mislum,6,mʊzlɪm,mɪslʌm,lmmʊzɪ,ʌmmlɪs,mmzʊlɪ,mlmɪsʌ,ʊlɪmmz,mɪlmsʌ,ʊmɪzml,mlɪʌms,ʊlɪmzm,ɪʌmsml
5853,5853,mustache,8,6,moutharse,7,mʌstæʃ,maʊθɑːɹs,æsmʌtʃ,ɹsʊaɑmθː,ʃæmʌst,sːmɑθaɹʊ,mtʃæʌs,mɹʊsːaɑθ,mʌsʃæt,θʊsmɹːaɑ,ʌsʃtæm,smʊɑːθaɹ
5854,5854,mustang,7,6,mestong,6,mʌstæŋ,mɛstɑːŋ,tmʌŋæs,tsɛmŋɑː,tmŋʌæs,ːɛmsŋtɑ,mstʌŋæ,ɑɛmtŋːs,tŋʌæsm,mːŋtɑɛs,mæŋʌts,ɛːɑmŋst
5855,5855,mustard,7,7,mestark,7,mʌstɚd,mɛstɑːɹk,tsdɚʌm,sɹɑtkmɛː,mtsdɚʌ,ːtɑɛsɹmk,sɚtʌdm,sɛːkmɹtɑ,sɚtmʌd,ɹɛkɑːmst,ɚmdʌts,sːkɹɛmtɑ
5856,5856,musty,5,5,mosty,5,mʌsti,moʊsti,sʌmti,osʊtim,mtsʌi,ʊsmiot,sʌimt,iomsʊt,tʌism,istoʊm,siʌtm,tsʊomi
5857,5857,mutate,6,6,mocate,5,mjuːteɪt,mɑːkeɪt,ettjːmuɪ,ɪːetmɑk,tmːuteɪj,ɑmtːɪke,juːttmeɪ,ɪkɑemtː,ɪmtujːet,ɑmɪeːkt,mjtteɪuː,ːemtɑɪk
5858,5858,mutation,8,8,mutorion,9,mjuːteɪʃən,mjuːtɔːɹiən,tmunːɪjəʃe,ːmjitnɔuːɹə,unəeːjʃɪtm,jmɔːnuːɹəti,mtjʃːunəeɪ,ɔnjɹːtuːimə,unjtɪməʃeː,ːtəiːjuɔnɹm,tjeɪːnəumʃ,ːuiɹntjːəɔm
5859,5859,mute,4,4,zute,4,mjuːt,zjuːt,mːtju,jːztu,ːjmtu,zjutː,utmjː,utːjz,mjːut,ːztju,juːtm,zjtuː
5860,5860,mutilate,8,7,mutolale,8,mjuːɾᵻleɪt,mjuːɾəleɪl,eulːmɾᵻtjɪ,uljəːɾlɪme,ɪuᵻtːljmeɾ,jəɾeɪːlulm,ᵻlumeɪtjːɾ,ɪəuːmjlleɾ,ɪumːeɾljtᵻ,jllɪməeɾːu,leutɪɾjmᵻː,ːɪəllɾmeuj
5861,5861,mutilation,10,9,mutalotive,10,mjuːɾɪleɪʃən,mjuːɾɐlɑːɾɪv,ɪnlmɾjəuʃeɪː,mvɪluːɐɑɾjɾː,ʃleəɪnjumɾɪː,mɾɐɑːɾuːvɪjl,mɾnljəʃːuɪeɪ,ɑɪvljmːɾɐɾuː,ejəɪuɪlnmːʃɾ,ɾːːumlvɪjɑɐɾ,ɪːjəʃuɾmɪnle,vɑɐumːɪɾːjɾl
5862,5862,mutiny,6,6,mutomy,7,mjuːtɪni,mjuːɾəmi,iujːmɪtn,ːjəɾmumi,ntimɪjːu,mjːɾumiə,tujːmɪni,iəmjːɾum,umjnɪːti,ijuɾməːm,ːtijnumɪ,uːɾiəmmj
5863,5863,mutton,6,4,mullon,5,mʌʔn̩,mʌlən,nmʔ̩ʌ,əʌlnm,n̩mʔʌ,ʌmnlə,n̩mʌʔ,lənʌm,ʌnʔ̩m,lnʌmə,̩ʌʔnm,ʌmnlə
5864,5864,mutual,6,7,mutiat,7,mjuːtʃuːəl,mjuːʃɪæt,mːjuuʃtːlə,tjɪmːuʃæ,jəlutumːːʃ,ɪʃæmjuːt,ʃumujtlːːə,jætmːuɪʃ,ləːːuʃutmj,tuæːɪmjʃ,lːuʃuːjəmt,jʃɪuætːm
5865,5865,muzzle,6,5,mueple,6,mʌzəl,mjuːpəl,lʌəmz,jmːuləp,ʌləmz,mːljəpu,əmʌzl,pəmlːju,məzlʌ,lːpjməu,əlmʌz,ləːmpuj
5866,5866,mysterious,10,9,mystopious,9,mɪstɪɹiəs,mɪstoʊpiəs,tməiɪɪɹss,pəmtosʊiɪs,tɹəɪssiɪm,ptmɪsʊəosi,əɪsɹsitɪm,sismɪəpoʊt,tisəɹmɪɪs,otssiɪʊməp,ɹtmisɪɪsə,psɪsoʊəimt
5867,5867,mystery,7,7,mystemy,7,mɪstɚɹi,mɪstəmi,iɪɚstmɹ,iəmɪtsm,mɹisɪtɚ,əimmsɪt,ɹiɪtmsɚ,sɪəmmti,ɪsmɹɚit,sɪtəimm,ɪmstiɚɹ,təsiɪmm
5868,5868,mystic,6,6,mustib,6,mɪstɪk,mʌstɪb,ɪtsɪkm,tbmʌsɪ,kɪɪsmt,tɪʌbsm,ksɪtmɪ,ɪbsʌmt,ɪtsɪkm,ɪtʌbms,kɪɪmts,ʌmsɪtb
5869,5869,mystical,8,8,mystocan,8,mɪstɪkəl,mɪstɑːkən,ɪtəɪklms,ːəmstɑkɪn,mltskɪəɪ,sɪnəkmːɑt,əlsɪmɪkt,ːksmtnɪəɑ,ɪɪsləmkt,mɑɪkːntəs,ɪmtksləɪ,mknɑːtɪəs
5870,5870,mystify,7,7,mystopy,7,mɪstᵻfaɪ,mɪstəpi,ᵻmɪɪtsfa,stɪmpəi,fsɪtᵻaɪm,əpsɪtim,ɪtafɪmᵻs,ɪtmipəs,mfɪsᵻaɪt,pəɪistm,ᵻtmsfɪaɪ,stəɪpmi
5871,5871,mystique,8,6,mustitch,6,mɪstiːk,mʌstɪtʃ,mtsɪikː,sʃtʌɪtm,ɪːmikst,tʃtsmɪʌ,ktːisɪm,mtʌstɪʃ,tɪmːski,mɪʌʃtts,imstkːɪ,stʌɪtmʃ
5872,5872,myth,4,3,muth,3,mɪθ,mʌθ,mɪθ,θmʌ,θmɪ,ʌθm,θɪm,mθʌ,mθɪ,θmʌ,θmɪ,ʌmθ
5873,5873,mythological,12,11,mytholagoral,11,mɪθəlɑːdʒɪkəl,mɪθəlæɡɚɹəl,lːmθkdlʒɪɑəɪə,ɡɚlɹæθɪləmə,ɪlθdmːɪəlɑʒkə,æθəmlləɹɪɚɡ,ɪθməkɪəʒldːlɑ,əəæɡɹlɪθɚml,ɪəʒkəːɪɑdlmlθ,əɚælθməlɹɡɪ,mdɪkəəθɑːʒɪll,əɡæmɪɹθɚəll
5874,5874,mythologist,11,10,mytherogize,9,mɪθɑːlədʒɪst,mɪθɚɹɑːdʒaɪz,mɑɪdsətʒɪlːθ,ʒɚmɪaːzθɹɑɪd,ɪdtθslːɑəʒɪm,ɪmɑzθaʒːɹɚɪd,ədsːʒtlɪθɑɪm,ːmɪdθzʒɪɚɹɑa,əθsmɪʒtlɪːɑd,ɑɚːθɪɹzmaɪdʒ,ːdɪɪɑθslʒəmt,ːʒaθmɪɪɚɑɹzd
5875,5875,mythology,9,8,mytherody,8,mɪθɑːlədʒi,mɪθɚɹədi,ːmdləθɪiʒɑ,θɚdɪmɹiə,idθməʒɑːɪl,əmɚθɪidɹ,əʒɪmɑθiːdl,əɚθɪdɹim,ilːdʒɪmθɑə,iɚɪmθdɹə,ɪildəmɑːʒθ,dθəmɹɪɚi
5876,5876,nab,3,3,nar,3,næb,nɑːɹ,nbæ,ɹɑnː,bnæ,ːnɑɹ,nbæ,ɹnːɑ,bæn,ːɹnɑ,næb,ɑːnɹ
5877,5877,nag,3,3,nig,3,næɡ,nɪɡ,æɡn,nɪɡ,ænɡ,ɪnɡ,æɡn,ɪɡn,næɡ,nɡɪ,nɡæ,ɪɡn
5878,5878,nail,4,3,noin,3,neɪl,nɔɪn,nleɪ,nɪɔn,lɪen,ɔnnɪ,lnɪe,nɔnɪ,enlɪ,nɔɪn,nlɪe,nɪɔn
5879,5879,naive,5,4,noine,4,naɪiːv,nɔɪn,aːvnɪi,ɔnnɪ,ivɪːan,nɪnɔ,aɪiːnv,ɔnɪn,iːaɪvn,ɔnɪn,nvaɪiː,ɪnɔn
5880,5880,naked,5,5,noker,5,neɪkᵻd,noʊkɚ,dᵻkneɪ,ɚnʊok,ndᵻkɪe,oɚnkʊ,ɪdenkᵻ,ɚʊnko,dknᵻɪe,ʊɚnko,nedkᵻɪ,kɚnʊo
5881,5881,name,4,3,nace,3,neɪm,neɪs,ɪmen,sneɪ,menɪ,nɪse,menɪ,esɪn,enɪm,sɪne,ɪenm,ɪnes
5882,5882,nameless,8,6,nimeness,6,neɪmləs,naɪmnəs,elsmənɪ,sənmaɪn,ɪməlnes,ɪmənnas,əesmnlɪ,nsaənmɪ,ləɪesmn,nasməɪn,nɪemslə,ɪaəmnsn
5883,5883,nap,3,3,nop,3,næp,nɑːp,ænp,pːnɑ,ænp,nɑpː,ænp,nːpɑ,æpn,ːnɑp,pæn,pːɑn
5884,5884,napkin,6,6,nopwin,6,næpkɪn,nɑːpwɪn,pnæknɪ,wnɪnːpɑ,ɪnkænp,ɑɪpnːwn,nɪkpnæ,nːɪwnɑp,ænpɪnk,npːɑnɪw,kæpɪnn,ːpnɑɪwn
5885,5885,napoleon,8,8,napaloen,8,nɐpoʊlɪən,neɪpɐloʊn,npolʊɪɐnə,oenɐlpnɪʊ,ɪɐnnləpoʊ,pɪonɐʊlen,ɪnnpɐləoʊ,ɪnnlɐoʊep,əʊpnoɐɪnl,nopnlɐɪeʊ,əʊnlɐoɪnp,nlɪpnoeɐʊ
5886,5886,narcotic,8,8,narmotic,8,nɑːɹkɑːɾɪk,nɑːɹmɑːɾɪk,ɪɹnɾɑkkːːɑ,nɑɑɾːːɪɹmk,kɾkɑːnɹːɪɑ,nkɪɑɑːmɾːɹ,kːnɹːɑɪkɾɑ,ɑːmnkɹɾɪɑː,ɾɑːknɑɪkːɹ,ːkɪɑnɹɑːɾm,kɑɑnkːːɪɹɾ,ːɹːnɾɑmkɑɪ
5887,5887,narrate,7,5,nallate,5,nɚɹeɪt,næleɪt,ntɪɹɚe,ɪneltæ,eɚɹtɪn,ælɪnte,ɪɚntɹe,eæɪlnt,ntɹeɪɚ,ænɪlet,ɚeɪtnɹ,netælɪ
5888,5888,narration,9,7,narrotoon,7,nɚɹeɪʃən,næɹoʊtuːn,əʃnɚnɪɹe,ːotnnʊæuɹ,ɹnnɚeɪʃə,nʊːunoætɹ,ɹʃɪenɚən,ɹnʊːæontu,eɪənɹʃɚn,ːʊoɹuntæn,ɪʃnəɹeɚn,nːɹæontuʊ
5889,5889,narrative,9,7,narromave,7,næɹətɪv,næɹəmeɪv,væntəɪɹ,ɹɪenməæv,ætɹnvɪə,məvɹneæɪ,ɹəɪtnæv,ɪvneəæmɹ,tɹənvɪæ,ænɪeɹvəm,vɹænɪtə,æɪnəvmɹe
5890,5890,narrator,8,7,narropor,7,næɹeɪɾɚ,næɹɑːpɚ,nɪɹæɾɚe,pæːɹɑɚn,ɾeænɚɪɹ,ɚpæːnɹɑ,ɾæeɪɚnɹ,nɹɑɚpːæ,ɚeɹænɪɾ,ːpæɑɹɚn,ɪæɾeɚnɹ,ɹːæɚpnɑ
5891,5891,narrow,6,4,nattow,4,næɹoʊ,næɾoʊ,æɹnoʊ,ɾnæoʊ,ænoɹʊ,ʊnoæɾ,ɹnʊæo,ʊɾæno,ʊɹoæn,ʊnæɾo,æɹoʊn,ɾʊæno
5892,5892,nasal,5,5,nosil,5,neɪzəl,nɑːsəl,elənzɪ,ɑəːsln,lenɪzə,ːɑslnə,ezəlnɪ,ɑəːnls,ləɪenz,ːsnɑəl,ɪenəzl,nlːsəɑ
5893,5893,nasty,5,5,nosty,5,næsti,nɑːsti,ntsæi,nɑiːst,nstiæ,tsnɑːi,tnæsi,ːsɑint,æitns,tːinɑs,snæti,tnsiːɑ
5894,5894,nation,6,5,notoon,5,neɪʃən,nətuːn,ennʃəɪ,nːutən,nəɪnʃe,nuːntə,ɪnnəʃe,ːunnət,enɪʃən,ənuːtn,əɪnneʃ,ːnəunt
5895,5895,national,8,7,narionar,7,næʃənəl,nɑːɹɹɪɑːnɑːɹ,lʃænənə,ɑɹnːɹɪɹːɑnɑː,ʃəəlænn,ːnɑɪːɑɹɹnːɹɑ,æəlnnʃə,ɹnɑɹnɑːɑɪɹːː,æənʃəln,ːɑɑɹɹɪːnːɑɹn,əənæʃnl,ɪɹnɑnɹɑːːɑɹː
5896,5896,nationalism,11,11,natistalics,11,næʃənəlɪzəm,næɾɪstælɪks,zɪəæməlnənʃ,æɾkɪstsɪænl,ɪmæənʃnələz,nkæɪɪɾtslsæ,ənənmæəzʃlɪ,ɪælskɪsɾætn,lnənæzɪəʃəm,stɪæænlɪskɾ,ɪmləæzʃəənn,nklɾɪɪæsstæ
5897,5897,nationality,11,10,nationolory,10,næʃənælᵻɾi,neɪʃənɑːlɚɹi,æᵻɾəlnniʃæ,əiɑʃnɪnɚelːɹ,iənæɾnlᵻæʃ,lnːnɚʃɹiɪeɑə,æʃᵻæinɾnlə,əːɑiɪlʃnɚeɹn,əæᵻnæʃlniɾ,ʃeliəɚɹnːɪnɑ,iæᵻəɾænnlʃ,nɪɑilʃːɚəɹen
5898,5898,nationalization,15,13,nationolomalion,14,næʃənəlᵻzeɪʃən,neɪʃənɑːləmæliən,əʃzeʃnəɪnnləæᵻ,nːəenəəlnɪʃmɑlæi,zʃᵻəlnnæʃəəɪne,ənmleiɑæɪləʃnənː,znnʃləəɪeʃᵻnəæ,iəʃeɑænənlːənlɪm,æᵻɪnnnəeʃzəəlʃ,enlɪænːəmlɑnʃiəə,ʃnnnləəᵻeɪæʃzə,nʃieəæɪːləɑnmlən
5899,5899,nationalize,11,9,natoonalase,9,næʃənəlaɪz,nætuːnɐleɪz,nɪaznʃələæ,ɪtnæluːɐnze,aænlɪəəʃzn,entɪlːæzuɐn,alznənʃəæɪ,uæznnlːɪetɐ,æanɪəʃəlzn,ːtælnɪuneɐz,zlɪəæənnʃa,ɐuænnːɪtzle
5900,5900,nationwide,10,8,natoonwade,8,neɪʃənwaɪd,nætuːnweɪd,ɪaenʃnəɪdw,denwɪnætuː,adɪʃenwəɪn,wæudːɪtnne,nndewʃɪɪəa,udɪnntewæː,əaeʃnwnɪɪd,æːnduwnɪte,awnɪʃdeɪən,endunːwɪtæ
5901,5901,native,6,5,notike,5,neɪɾɪv,noʊɾaɪk,ɪenɪɾv,ʊkaoɾɪn,ɪeɾnvɪ,ʊkɪoɾna,nvɪeɪɾ,oaɾnʊɪk,nveɾɪɪ,aʊnɪokɾ,nvɾɪɪe,kɪɾʊnoa
5902,5902,nativity,8,8,natemiry,8,nɐtɪvᵻɾi,neɪtmaɪɚɹi,tɪᵻɐivnɾ,tɹɚemɪianɪ,tnɐɾiɪvᵻ,mɚntaiɹeɪɪ,ɾnɐtɪᵻiv,mtɹiɪeɚnɪa,ᵻtviɐɾnɪ,amɪɹɪntieɚ,tɾᵻviɐnɪ,maɪɪnetɚɹi
5903,5903,natural,7,7,natoril,7,nætʃɚɹəl,næɾɔːɹəl,nltɹæʃəɚ,ɔɾlːnæɹə,ɹnɚtlæʃə,æɹɾɔːlən,æɚlʃətnɹ,ːlɔɹæəɾn,tlənɹæʃɚ,nəlɾæɔɹː,ʃɚəætɹnl,əæːɔɾɹln
5904,5904,naturalist,10,10,natoramise,9,nætʃɚɹəlɪst,næɾɔːɹæmaɪz,nætɹəʃɪlɚst,ɔzɾːæɹæmɪna,ɪtʃntsəɹælɚ,ɹɾnːɪɔmæazæ,sɹlɪɚnæʃətt,aɾːæɹzmɔæɪn,tælʃɪtsɚɹən,æaɾmɹːɪɔzæn,ɚɹɪsænltʃət,anɾɪzmɔæɹæː
5905,5905,naturalistic,12,12,naturolitric,12,nætʃɚɹəlɪstɪk,neɪtʃɚɹəlɪtɹɪk,ɪɪɹsætltəɚknʃ,ɹɪɚɪeɪʃtɹəntkl,əɚætkɹʃɪɪnlts,ekɚlɪɪɹɪtəʃɹnt,kɪttnəɚɹɪlæsʃ,ɹelɪɪɹəɚkɪttnʃ,lɪtntækɹɚəʃsɪ,ʃtnətɪɪkɪɹeɚlɹ,nttəɪɹæksʃɚlɪ,ɚɪnɹɪtɹelkɪəʃt
5906,5906,naturalization,14,13,naturilamotion,14,nætʃɚɹəlᵻzeɪʃən,neɪtʃɚɹɪlɐmoʊʃən,əʃənnætzɹɚɪᵻʃle,ɹəlʊmtɚɪɐnoeʃnɪʃ,ᵻnəzʃnʃltɪɚæeəɹ,tɪʃɹəʃɚeɪmonnʊlɐ,əʃæetəɹʃnzᵻɪɚln,ɪtɹneʃɐləʃɚɪmʊon,nænɚʃʃᵻɪəeɹəlzt,tmʊlɐeʃɹonʃɪnɪɚə,təleəɪnʃʃɚᵻnɹæz,otɚɐlɪəʃʊeʃnɪɹnm
5907,5907,naturally,9,8,natorammy,8,nætʃɚɹəli,næɾɔːɹæmi,ɚltʃɹinæə,iɹɔnæːæmɾ,ʃɹətlnɚiæ,iæɹɾæːnmɔ,əɚʃinætɹl,imɔɹnːɾææ,əɹiʃætnlɚ,æɔːɾɹinæm,iɚʃntlæɹə,ɾːnɔmɹæiæ
5908,5908,nature,6,5,nutare,6,neɪtʃɚ,nuːɾɛɹ,ɪeɚʃnt,nɛːɾɹu,ɪeʃtnɚ,ɾːuɛnɹ,tɚʃeɪn,nuɹːɾɛ,tɪʃɚne,nɾɹuɛː,ɚteɪnʃ,nɹuɛɾː
5909,5909,nausea,6,5,naurea,5,nɔːsɪə,nɔːɹiə,ɔnsɪəː,ɹːɔəni,ɪsːɔən,ɔəːɹni,ɔsnəɪː,ɹəɔiːn,sɪːnəɔ,ɹiənːɔ,ɔnːɪəs,əɔɹnːi
5910,5910,nauseate,8,6,nausoase,6,nɔːsɪeɪt,nɔːsoʊs,tːneɪɪɔs,sʊːnsoɔ,ɪstːneɔɪ,osʊsːɔn,tsːnɪɪɔe,sʊːsɔon,sɪːɪenɔt,ɔsnoːsʊ,sɔɪneɪːt,sɔʊnsːo
